timestamp_ms,cpu_usage,available_workers,io_queue,cpu_queue
0,0.0000,8,0,0
10,0.0000,8,0,0
20,0.1000,7,1,0
30,0.1000,7,1,0
41,0.4500,6,0,1
51,0.4500,6,0,1
62,0.5500,5,1,0
72,0.5500,5,1,0
82,0.6500,4,1,0
92,0.6500,4,1,0
102,0.7500,3,1,0
112,0.7500,3,1,0
122,0.8500,2,1,0
132,0.8500,2,1,0
142,0.9500,1,1,0
152,0.9500,1,1,0
162,0.9500,1,1,0
172,0.9500,1,1,0
182,0.9500,1,1,1
193,0.9500,1,1,1
203,0.9500,1,1,2
213,0.9500,1,1,2
223,0.9500,1,1,3
233,0.9500,1,1,3
243,0.9500,1,1,3
253,0.9500,1,1,3
263,0.9500,1,1,3
273,0.9500,1,1,3
283,0.9500,1,1,3
293,0.9500,1,1,3
303,0.9500,1,1,3
313,0.9500,1,1,3
323,0.9500,1,1,3
333,0.9500,1,1,3
344,0.9500,1,1,3
354,0.9500,1,1,3
364,0.9500,1,1,3
374,0.9500,1,1,3
384,0.9500,1,1,4
394,0.9500,1,1,4
404,0.9500,1,2,4
414,0.9500,1,2,4
425,0.9500,1,3,4
435,0.9500,1,3,4
445,0.9500,1,3,4
455,0.9500,1,3,4
465,0.9500,1,4,3
475,0.9500,1,4,3
485,0.9500,1,4,3
495,0.9500,1,4,3
505,0.9500,1,3,4
516,0.9500,1,3,4
527,0.9500,1,3,4
537,0.8500,2,3,4
547,0.9500,1,4,4
557,0.9500,1,4,4
567,0.9500,1,2,5
577,0.9500,1,2,5
587,0.9500,1,3,5
597,0.9500,1,3,5
607,0.9500,1,4,5
617,0.9500,1,4,5
627,0.9500,1,5,5
637,0.9500,1,5,5
648,0.9500,1,4,6
659,0.9500,1,4,6
669,0.8500,2,4,6
679,0.9500,1,5,5
689,0.8500,2,5,5
699,0.9500,1,5,5
709,0.8500,2,5,5
719,0.9500,1,5,5
729,0.9500,1,5,5
739,0.9500,1,5,5
749,0.7500,3,5,5
760,0.9500,1,6,5
770,0.9500,1,6,5
780,0.9500,1,5,5
790,0.9500,1,5,5
800,0.9500,1,6,5
810,0.9500,1,6,5
820,0.9500,1,7,5
830,0.8500,2,7,5
840,0.9500,1,7,6
850,0.6000,2,7,6
860,0.9500,1,7,6
870,0.8500,2,7,6
880,0.9500,1,8,5
890,0.8500,2,8,5
900,0.9500,1,8,5
910,0.8500,2,8,5
921,0.9500,1,7,6
931,0.9500,1,7,6
941,0.9500,1,7,6
951,0.7500,3,7,6
961,0.9500,1,8,6
971,0.9500,1,8,6
981,0.9500,1,7,6
991,0.9500,1,7,6
1001,0.9500,1,7,7
1011,0.9500,1,7,7
1021,0.9500,1,8,7
1031,0.8500,2,8,7
1041,0.9500,1,8,8
1051,0.6000,2,8,8
1061,0.9500,1,7,9
1072,0.9500,1,8,8
1082,0.9500,1,8,8
1092,0.9500,1,8,8
1102,0.9500,1,8,8
1112,0.9500,1,8,8
1122,0.9500,1,8,8
1132,0.9500,1,7,9
1142,0.9500,1,7,9
1152,0.9500,1,8,9
1162,0.9500,1,8,9
1172,0.9500,1,6,10
1182,0.9500,1,6,10
1192,0.9500,1,6,11
1202,0.9500,1,6,11
1212,0.9500,1,7,11
1223,0.9500,1,7,11
1233,0.9500,1,8,11
1243,0.9500,1,8,11
1253,0.9500,1,8,11
1263,0.9500,1,8,11
1273,0.9500,1,9,10
1283,0.9500,1,9,10
1293,0.9500,1,9,10
1303,0.9500,1,9,10
1313,0.9500,1,9,10
1323,0.9500,1,9,10
1333,0.9500,1,8,11
1343,0.9500,1,8,11
1353,0.9500,1,9,11
1363,0.9500,1,9,11
1373,0.9500,1,8,11
1384,0.9500,1,8,11
1394,0.9500,1,9,11
1404,0.9500,1,9,11
1414,0.9500,1,10,11
1424,0.9500,1,10,11
1434,0.9500,1,11,11
1444,0.9500,1,11,11
1454,0.9500,1,11,11
1464,0.9500,1,11,11
1474,0.9500,1,11,11
1484,0.9500,1,11,11
1494,0.9500,1,11,11
1504,0.9500,1,11,11
1514,0.9500,1,11,11
1524,0.9500,1,11,11
1535,0.9500,1,11,11
1545,0.9500,1,11,11
1555,0.9500,1,12,11
1565,0.9500,1,12,11
1575,0.9500,1,10,12
1585,0.9500,1,10,12
1595,0.9500,1,11,12
1605,0.9500,1,11,12
1615,0.9500,1,12,12
1625,0.9500,1,12,12
1636,0.9500,1,13,12
1647,0.9500,1,13,12
1657,0.9500,1,13,12
1667,0.9500,1,13,12
1679,0.9500,1,14,11
1689,0.9500,1,14,11
1699,0.9500,1,14,11
1709,0.9500,1,14,11
1719,0.9500,1,14,11
1729,0.9500,1,14,11
1740,0.9500,1,14,11
1750,0.9500,1,14,11
1760,0.9500,1,15,11
1770,0.9500,1,15,11
1780,0.9500,1,14,11
1790,0.9500,1,14,11
1800,0.9500,1,15,11
1810,0.9500,1,15,11
1820,0.9500,1,16,11
1830,0.9500,1,16,11
1840,0.9500,1,17,11
1850,0.9500,1,17,11
1860,0.9500,1,17,11
1870,0.9500,1,17,11
1880,0.9500,1,18,10
1891,0.9500,1,18,10
1901,0.9500,1,17,11
1911,0.9500,1,17,11
1921,0.9500,1,17,11
1931,0.9500,1,17,11
1941,0.9500,1,17,11
1951,0.9500,1,17,11
1961,0.9500,1,18,11
1971,0.9500,1,18,11
1981,0.9500,1,17,11
1991,0.9500,1,17,11
2001,0.9500,1,18,11
2011,0.9500,1,18,11
2021,0.9500,1,19,11
2031,0.9500,1,19,11
2042,0.9500,1,20,11
2052,0.9500,1,20,11
2062,0.9500,1,20,11
2072,0.9500,1,20,11
2082,0.9500,1,21,10
2092,0.9500,1,21,10
2102,0.9500,1,21,10
2112,0.9500,1,21,10
2122,0.9500,1,21,10
2132,0.9500,1,21,10
2142,0.9500,1,21,10
2152,0.9500,1,21,10
2162,0.9500,1,22,10
2172,0.9500,1,22,10
2182,0.9500,1,20,11
2192,0.9500,1,20,11
2203,0.9500,1,21,11
2213,0.9500,1,21,11
2223,0.9500,1,22,11
2233,0.9500,1,22,11
2243,0.9500,1,23,11
2253,0.9500,1,23,11
2263,0.9500,1,23,11
2273,0.9500,1,23,11
2283,0.9500,1,23,11
2293,0.9500,1,23,11
2303,0.9500,1,23,11
2313,0.9500,1,23,11
2323,0.9500,1,23,11
2334,0.9500,1,23,11
2344,0.9500,1,23,11
2354,0.9500,1,23,11
2364,0.9500,1,23,12
2374,0.9500,1,23,12
2384,0.9500,1,22,12
2394,0.9500,1,22,12
2404,0.9500,1,23,12
2414,0.9500,1,23,12
2424,0.9500,1,24,12
2434,0.9500,1,24,12
2444,0.9500,1,25,12
2454,0.9500,1,25,12
2464,0.9500,1,25,12
2474,0.9500,1,25,12
2485,0.9500,1,25,12
2495,0.9500,1,25,12
2505,0.9500,1,25,12
2515,0.9500,1,25,12
2525,0.9500,1,25,12
2535,0.9500,1,25,12
2545,0.9500,1,25,12
2555,0.9500,1,25,12
2567,0.9500,1,25,13
2584,0.9500,1,25,13
2604,0.9500,1,24,13
2614,0.9500,1,24,14
2624,0.9500,1,24,14
2634,0.9500,1,25,14
2644,0.8500,2,25,14
2654,0.9500,1,26,14
2664,0.6000,2,26,14
2674,0.9500,1,26,14
2684,0.8500,2,26,14
2695,0.9500,1,27,13
2705,0.8500,2,27,13
2715,0.9500,1,26,14
2725,0.8500,2,26,14
2736,0.9500,1,26,14
2746,0.9500,1,26,14
2756,0.9500,1,26,14
2766,0.7500,3,26,14
2776,0.9500,1,26,15
2786,0.9500,1,26,15
2796,0.9500,1,24,16
2806,0.9500,1,24,16
2816,0.9500,1,25,16
2826,0.9500,1,25,16
2836,0.9500,1,26,16
2846,0.9500,1,26,16
2856,0.9500,1,27,16
2866,0.9500,1,27,16
2876,0.9500,1,27,16
2887,0.9500,1,27,16
2897,0.9500,1,28,15
2907,0.9500,1,28,15
2917,0.9500,1,28,15
2927,0.9500,1,28,15
2937,0.9500,1,28,15
2947,0.9500,1,28,15
2957,0.9500,1,28,15
2967,0.9500,1,28,15
2977,0.9500,1,28,16
2987,0.9500,1,28,16
2997,0.9500,1,27,16
3007,0.9500,1,27,16
3017,0.9500,1,28,16
3027,0.9500,1,28,16
