timestamp_ms,cpu_usage,available_workers,io_queue,cpu_queue
0,0.0000,8,0,0
10,0.0000,8,0,0
20,0.1000,7,1,0
30,0.1000,7,1,0
40,0.4500,6,0,1
50,0.4500,6,0,1
60,0.5500,5,1,0
70,0.5500,5,1,0
82,0.6500,5,1,0
92,0.6500,4,1,0
102,0.7500,3,1,0
112,0.7500,3,1,0
122,0.8500,2,1,0
133,0.8500,2,1,0
143,0.9500,2,1,0
153,0.9500,1,1,0
163,0.9500,1,1,0
173,0.9500,1,1,0
183,0.9500,1,1,1
193,0.9500,1,1,1
203,0.9500,1,1,2
214,0.9500,1,1,2
224,0.9500,1,1,3
234,0.9500,1,1,3
244,0.7000,1,1,3
254,0.7000,1,1,3
264,0.9500,1,0,4
274,0.9500,1,0,4
284,0.9500,1,1,3
294,0.9500,1,1,3
304,0.9500,1,1,3
314,0.9500,1,1,3
324,0.9500,1,1,3
334,0.9500,1,1,3
344,0.8500,2,1,3
354,0.8500,2,1,3
365,0.9500,1,2,3
375,0.9500,1,2,3
385,0.9500,1,1,4
395,0.9500,1,1,4
405,0.9500,1,2,4
415,0.9500,1,2,4
425,0.9500,1,3,4
435,0.9500,1,3,4
445,0.9500,1,3,4
455,0.9500,1,3,4
465,0.9000,0,3,4
475,0.9000,0,3,4
485,0.8000,0,1,4
495,0.8000,0,1,4
505,0.8000,0,1,5
516,0.8000,0,1,5
526,0.8000,0,1,5
536,0.8000,0,1,5
546,0.8000,0,1,5
556,0.8000,0,1,5
566,0.8000,0,1,6
576,0.8000,0,1,6
586,0.8000,0,1,6
596,0.8000,0,1,6
606,0.8000,0,2,6
616,0.8000,0,2,6
626,1.0000,0,3,6
637,1.0000,0,3,6
647,0.9000,0,0,7
657,0.9000,0,0,7
668,0.8000,0,1,7
678,0.8000,0,1,7
688,0.8000,0,1,7
698,0.8000,0,1,7
708,0.8000,0,1,7
718,0.8000,0,1,7
728,0.8000,0,1,7
738,0.8000,0,1,7
748,0.8000,0,1,7
758,0.8000,0,1,7
768,0.9000,0,2,7
778,0.9000,0,2,7
788,0.9000,0,1,7
798,0.9000,0,1,7
808,0.9000,0,2,7
819,0.9000,0,2,7
829,0.8000,0,2,8
839,0.8000,0,2,8
849,1.0000,0,3,8
859,1.0000,0,3,8
869,0.8000,0,1,8
879,0.8000,0,1,8
889,0.9000,0,2,8
899,0.9000,0,2,8
909,0.8000,0,0,9
919,0.8000,0,0,9
929,0.8000,0,1,9
939,0.8000,0,1,9
949,0.8000,0,1,9
960,0.8000,0,1,9
970,0.9000,0,2,9
980,0.9000,0,2,9
990,0.9000,0,0,10
1000,0.9000,0,0,10
1010,0.9000,0,1,10
1020,0.9000,0,1,10
1030,0.8000,0,1,11
1040,0.8000,0,1,11
1050,0.8000,0,1,12
1060,0.8000,0,1,12
1070,0.7000,1,1,12
1081,0.7000,1,1,12
1091,0.7000,1,1,12
1101,0.7000,1,1,12
1111,0.7000,1,1,12
1121,0.7000,1,1,12
1131,0.9500,1,0,13
1141,0.9500,1,0,13
1151,0.9500,1,1,12
1161,0.9500,1,1,12
1171,0.9500,1,1,13
1181,0.9500,1,1,13
1191,0.9500,1,0,14
1201,0.9500,1,0,14
1216,0.9500,1,1,14
1226,0.9500,1,1,14
1238,0.8500,2,2,14
1249,0.9500,1,3,14
1266,0.9500,1,3,14
1277,0.9500,1,2,14
1287,0.8500,2,2,14
1297,0.9500,1,2,14
1307,0.9500,1,2,14
1317,0.9500,1,2,14
1330,0.6000,2,2,14
1342,0.7000,1,1,15
1352,0.7000,1,1,15
1363,0.8000,1,1,15
1373,0.7000,1,1,15
1383,0.8000,0,1,15
1393,0.8000,0,1,15
1403,0.8000,0,1,15
1413,0.8000,0,1,15
1423,0.8000,0,2,15
1433,0.8000,0,2,15
1443,0.8000,0,3,15
1454,0.6000,2,3,15
1464,1.0000,0,4,15
1474,0.9000,0,4,15
1484,0.9000,0,0,16
1494,0.8000,0,0,16
1504,0.8000,0,1,16
1514,0.7000,1,1,16
1524,0.9000,0,2,16
1534,0.8000,0,2,16
1544,0.8000,0,1,16
1554,0.8000,0,1,16
1565,0.7000,1,2,16
1575,0.7000,1,2,16
1585,0.8000,0,2,17
1595,0.8000,0,2,17
1605,0.8000,0,1,17
1615,0.8000,0,1,17
1625,0.8000,0,2,17
1635,0.8000,0,2,17
1645,0.8000,0,3,17
1655,0.8000,0,3,17
1665,1.0000,0,4,17
1675,0.9000,0,4,17
1686,0.9000,0,1,17
1696,0.8000,0,1,17
1706,0.8000,0,2,17
1716,0.8000,0,2,17
1726,1.0000,0,3,17
1736,0.9000,0,3,17
1746,0.9000,0,1,17
1756,0.9000,0,1,17
1766,0.9000,0,2,17
1776,0.9000,0,2,17
1786,1.0000,0,3,17
1796,1.0000,0,3,17
1806,1.0000,0,1,17
1816,1.0000,0,1,17
1826,1.0000,0,2,17
1837,1.0000,0,2,17
1847,1.0000,0,3,17
1857,1.0000,0,3,17
1867,0.8000,0,4,17
1877,0.7000,1,4,17
1887,1.0000,0,5,17
1897,0.9000,0,5,17
1907,0.9000,0,2,18
1917,0.9000,0,2,18
1927,0.8000,0,3,18
1937,0.7000,1,3,18
1947,1.0000,0,4,18
1957,1.0000,0,4,18
1967,1.0000,0,2,18
1977,1.0000,0,2,18
1988,0.8000,0,3,18
1998,0.8000,0,3,18
2008,0.8000,0,4,18
2018,0.8000,0,4,18
2028,0.8000,0,5,18
2038,0.8000,0,5,18
2048,0.8000,0,6,18
2058,0.8000,0,6,18
2068,1.0000,0,7,18
2078,1.0000,0,7,18
2088,0.9000,0,4,18
2098,0.8000,0,4,18
2108,0.8000,0,5,18
2118,0.8000,0,5,18
2129,1.0000,0,6,18
2139,1.0000,0,6,18
2149,0.9000,0,4,18
2159,0.9000,0,4,18
2169,0.9000,0,5,18
2179,0.9000,0,5,18
2189,1.0000,0,5,19
2199,1.0000,0,5,19
2209,1.0000,0,3,19
2219,1.0000,0,3,19
2229,1.0000,0,4,19
2239,1.0000,0,4,19
2249,1.0000,0,5,19
2260,1.0000,0,5,19
2270,0.8000,0,6,19
2280,0.8000,0,6,19
2290,1.0000,0,6,20
2300,0.9000,0,6,20
2310,0.9000,0,4,20
2320,0.9000,0,4,20
2330,0.8000,0,5,20
2340,0.8000,0,5,20
2350,1.0000,0,6,20
2360,1.0000,0,6,20
2370,1.0000,0,3,21
2380,1.0000,0,3,21
2390,0.8000,0,4,21
2401,0.8000,0,4,21
2411,0.8000,0,5,21
2421,0.8000,0,5,21
2431,0.8000,0,6,21
2441,0.8000,0,6,21
2451,0.8000,0,7,21
2461,0.8000,0,7,21
2471,1.0000,0,8,21
2481,1.0000,0,8,21
2491,0.9000,0,4,22
2501,0.8000,0,4,22
2512,0.8000,0,5,22
2522,0.8000,0,5,22
2532,1.0000,0,6,22
2542,1.0000,0,6,22
2552,0.9000,0,4,22
2562,0.9000,0,4,22
2572,0.9000,0,4,23
2582,0.9000,0,4,23
2592,1.0000,0,5,23
2602,1.0000,0,5,23
2612,1.0000,0,2,24
2622,1.0000,0,2,24
2632,1.0000,0,3,24
2643,1.0000,0,3,24
2653,1.0000,0,4,24
2663,1.0000,0,4,24
2673,0.8000,0,5,24
2683,0.8000,0,5,24
2693,0.9000,0,6,24
2703,0.9000,0,6,24
2713,0.9000,0,3,25
2723,0.9000,0,3,25
2733,0.8000,0,4,25
2744,0.8000,0,4,25
2754,1.0000,0,5,25
2764,1.0000,0,5,25
2774,1.0000,0,2,26
2784,0.9000,0,2,26
2794,0.8000,0,2,27
2804,0.8000,0,2,27
2814,0.8000,0,3,27
2824,0.8000,0,3,27
2834,0.8000,0,4,27
2844,0.8000,0,4,27
2854,0.8000,0,5,27
2865,0.8000,0,5,27
2875,1.0000,0,6,27
2885,1.0000,0,6,27
2895,0.8000,0,3,27
2905,0.8000,0,3,27
2915,0.8000,0,4,27
2925,0.8000,0,4,27
2935,1.0000,0,5,27
2945,1.0000,0,5,27
2955,0.9000,0,3,27
2965,0.9000,0,3,27
2976,0.9000,0,3,28
2986,0.8000,0,3,28
2996,1.0000,0,4,28
3006,1.0000,0,4,28
3016,1.0000,0,2,28
3026,1.0000,0,2,28
